provider,region,country,family,architecture,processor,vCPU,ram(GB),price($/h),N-price($/h),daily_price,N-daily_price,weekly_price,N-weekly_price,monthly_price,N-monthly_price
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,1,2,0.0456,0.0456,1.0944,1.0944,7.661,7.661,33.29,33.29
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,2,4,0.0912,0.0912,2.1888,2.1888,15.322,15.322,66.58,66.58
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,4,8,0.1824,0.1824,4.3776,4.3776,30.643,30.643,133.15,133.15
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,8,16,0.3648,0.3648,8.7552,8.7552,61.286,61.286,266.3,266.3
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,16,32,0.7296,0.7296,17.5104,17.5104,122.573,122.573,532.61,532.61
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,32,64,1.4592,1.4592,35.0208,35.0208,245.146,245.146,1065.22,1065.22
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,48,96,2.1888,2.1888,52.5312,52.5312,367.718,367.718,1597.82,1597.82
aws,af-south-1,South Africa,c6g,ARM,AWS Graviton2,64,128,2.9184,2.9184,70.0416,70.0416,490.291,490.291,2130.43,2130.43
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,2,4,0.114,0.114,2.736,2.736,19.152,19.152,83.22,83.22
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,4,8,0.228,0.228,5.472,5.472,38.304,38.304,166.44,166.44
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,8,16,0.456,0.456,10.944,10.944,76.608,76.608,332.88,332.88
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,16,32,0.912,0.912,21.888,21.888,153.216,153.216,665.76,665.76
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,32,64,1.824,1.824,43.776,43.776,306.432,306.432,1331.52,1331.52
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,48,96,2.736,2.736,65.664,65.664,459.648,459.648,1997.28,1997.28
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,64,128,3.648,3.648,87.552,87.552,612.864,612.864,2663.04,2663.04
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,96,192,5.472,5.472,131.328,131.328,919.296,919.296,3994.56,3994.56
aws,af-south-1,South Africa,c6i,x86(Intel),Intel Xeon Platinum 8375C,128,256,7.296,7.296,175.104,175.104,1225.728,1225.728,5326.08,5326.08
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,1,2,0.0485,0.03345,1.164,0.8028,8.148,5.619,35.4,24.41
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,2,4,0.0969,0.06683,2.3256,1.6039,16.279,11.227,70.74,48.79
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,4,8,0.1938,0.13366,4.6512,3.2077,32.558,22.454,141.47,97.57
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,8,16,0.3876,0.26731,9.3024,6.4154,65.117,44.908,282.95,195.14
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,16,32,0.7752,0.53462,18.6048,12.8309,130.234,89.817,565.9,390.28
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,32,64,1.5504,1.06924,37.2096,25.6618,260.467,179.632,1131.79,780.54
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,48,96,2.3256,1.60386,55.8144,38.4927,390.701,269.449,1697.69,1170.82
aws,af-south-1,South Africa,c7g,ARM,AWS Graviton3,64,128,3.1008,2.13848,74.4192,51.3236,520.934,359.265,2263.58,1561.09
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,2,4,0.1197,0.1008,2.8728,2.4192,20.11,16.935,87.38,73.58
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,4,8,0.2394,0.2016,5.7456,4.8384,40.219,33.869,174.76,147.17
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,8,16,0.4788,0.4032,11.4912,9.6768,80.438,67.737,349.52,294.33
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,16,32,0.9576,0.8064,22.9824,19.3536,160.877,135.475,699.05,588.67
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,32,64,1.9152,1.6128,45.9648,38.7072,321.754,270.951,1398.1,1177.35
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,48,96,2.8728,2.4192,68.9472,58.0608,482.63,406.425,2097.14,1766.01
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,64,128,3.8304,3.2256,91.9296,77.4144,643.507,541.901,2796.19,2354.69
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,96,192,5.7456,4.8384,137.8944,116.1216,965.261,812.851,4194.29,3532.03
aws,af-south-1,South Africa,c7i,x86(Intel),Intel Xeon Platinum 8488C,192,384,11.4912,9.6768,275.7888,232.2432,1930.522,1625.703,8388.58,7064.07
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,1,2,0.0533,0.02961,1.2792,0.7107,8.954,4.974,38.91,21.62
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,2,4,0.1066,0.05922,2.5584,1.4213,17.909,9.949,77.82,43.23
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,4,8,0.2132,0.11844,5.1168,2.8427,35.818,19.899,155.64,86.47
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,8,16,0.4264,0.23689,10.2336,5.6853,71.635,39.797,311.27,172.93
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,16,32,0.8528,0.47378,20.4672,11.3707,143.27,79.594,622.54,345.86
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,32,64,1.7056,0.94756,40.9344,22.7413,286.541,159.189,1245.09,691.72
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,48,96,2.5584,1.42133,61.4016,34.112,429.811,238.784,1867.63,1037.57
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,64,128,3.4112,1.89511,81.8688,45.4827,573.082,318.379,2490.18,1383.43
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,96,192,5.1168,2.84267,122.8032,68.224,859.622,477.568,3735.26,2075.14
aws,af-south-1,South Africa,c8g,ARM,AWS Graviton4,192,384,10.2336,5.68533,245.6064,136.448,1719.245,955.136,7470.53,4150.29
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,2,4,0.12569,0.08744,3.0166,2.0985,21.116,14.689,91.75,63.83
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,4,8,0.25138,0.17487,6.0331,4.1969,42.232,29.379,183.51,127.66
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,8,16,0.50276,0.34975,12.0662,8.3939,84.464,58.758,367.01,255.31
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,16,32,1.00552,0.69949,24.1325,16.7878,168.927,117.514,734.03,510.63
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,32,64,2.01104,1.39898,48.265,33.5757,337.855,235.03,1468.06,1021.26
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,48,96,3.01656,2.09848,72.3974,50.3634,506.782,352.544,2202.09,1531.89
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,64,128,4.02208,2.79797,96.5299,67.1512,675.709,470.058,2936.12,2042.52
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,96,192,6.03312,4.19695,144.7949,100.7269,1013.564,705.088,4404.18,3063.78
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,128,256,8.04416,5.59594,193.0598,134.3025,1351.419,940.118,5872.24,4085.04
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,192,384,12.06624,8.39391,289.5898,201.4538,2027.128,1410.176,8808.36,6127.55
aws,af-south-1,South Africa,c8i,x86(Intel),Intel Xeon 6 6975P-C,384,768,24.13248,16.78781,579.1795,402.9075,4054.257,2820.353,17616.71,12255.1
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,1,4,0.0508,0.0508,1.2192,1.2192,8.534,8.534,37.08,37.08
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,2,8,0.1016,0.1016,2.4384,2.4384,17.069,17.069,74.17,74.17
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,4,16,0.2032,0.2032,4.8768,4.8768,34.138,34.138,148.34,148.34
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,8,32,0.4064,0.4064,9.7536,9.7536,68.275,68.275,296.67,296.67
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,16,64,0.8128,0.8128,19.5072,19.5072,136.55,136.55,593.34,593.34
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,32,128,1.6256,1.6256,39.0144,39.0144,273.101,273.101,1186.69,1186.69
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,48,192,2.4384,2.4384,58.5216,58.5216,409.651,409.651,1780.03,1780.03
aws,af-south-1,South Africa,m6g,ARM,AWS Graviton2,64,256,3.2512,3.2512,78.0288,78.0288,546.202,546.202,2373.38,2373.38
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,2,8,0.127,0.127,3.048,3.048,21.336,21.336,92.71,92.71
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,4,16,0.254,0.254,6.096,6.096,42.672,42.672,185.42,185.42
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,8,32,0.508,0.508,12.192,12.192,85.344,85.344,370.84,370.84
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,16,64,1.016,1.016,24.384,24.384,170.688,170.688,741.68,741.68
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,32,128,2.032,2.032,48.768,48.768,341.376,341.376,1483.36,1483.36
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,48,192,3.048,3.048,73.152,73.152,512.064,512.064,2225.04,2225.04
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,64,256,4.064,4.064,97.536,97.536,682.752,682.752,2966.72,2966.72
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,96,384,6.096,6.096,146.304,146.304,1024.128,1024.128,4450.08,4450.08
aws,af-south-1,South Africa,m6i,x86(Intel),Intel Xeon Platinum 8375C,128,512,8.128,8.128,195.072,195.072,1365.504,1365.504,5933.44,5933.44
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,1,4,0.054,0.03724,1.296,0.8938,9.072,6.257,39.42,27.19
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,2,8,0.108,0.07448,2.592,1.7876,18.144,12.513,78.84,54.37
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,4,16,0.2159,0.1489,5.1816,3.5735,36.271,25.014,157.61,108.7
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,8,32,0.4318,0.29779,10.3632,7.147,72.542,50.029,315.21,217.39
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,16,64,0.8637,0.59566,20.7288,14.2957,145.102,100.07,630.5,434.83
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,32,128,1.7274,1.19131,41.4576,28.5914,290.203,200.14,1261.0,869.66
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,48,192,2.591,1.7869,62.184,42.8855,435.288,300.199,1891.43,1304.43
aws,af-south-1,South Africa,m7g,ARM,AWS Graviton3,64,256,3.4547,2.38255,82.9128,57.1812,580.39,400.269,2521.93,1739.26
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,2,8,0.13335,0.11229,3.2004,2.6951,22.403,18.866,97.35,81.98
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,4,16,0.2667,0.22459,6.4008,5.3901,44.806,37.731,194.69,163.95
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,8,32,0.5334,0.44918,12.8016,10.7803,89.611,75.462,389.38,327.9
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,16,64,1.0668,0.89836,25.6032,21.5606,179.222,150.924,778.76,655.8
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,32,128,2.1336,1.79672,51.2064,43.1212,358.445,301.848,1557.53,1311.6
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,48,192,3.2004,2.69507,76.8096,64.6818,537.667,452.772,2336.29,1967.4
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,64,256,4.2672,3.59343,102.4128,86.2424,716.89,603.697,3115.06,2623.21
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,96,384,6.4008,5.39015,153.6192,129.3635,1075.334,905.544,4672.58,3934.8
aws,af-south-1,South Africa,m7i,x86(Intel),Intel Xeon Platinum 8488C,192,768,12.8016,10.78029,307.2384,258.7271,2150.669,1811.09,9345.17,7869.62
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,1,4,0.05938,0.03299,1.4251,0.7917,9.976,5.542,43.35,24.08
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,2,8,0.11876,0.06598,2.8502,1.5834,19.952,11.084,86.69,48.16
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,4,16,0.23752,0.13196,5.7005,3.1669,39.903,22.168,173.39,96.33
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,8,32,0.47504,0.26391,11.401,6.3339,79.807,44.337,346.78,192.66
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,16,64,0.95008,0.52782,22.8019,12.6677,159.613,88.674,693.56,385.31
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,32,128,1.90016,1.05564,45.6038,25.3354,319.227,177.348,1387.12,770.62
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,48,192,2.85024,1.58347,68.4058,38.0032,478.84,266.022,2080.68,1155.93
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,64,256,3.80032,2.11129,91.2077,50.6709,638.454,354.697,2774.23,1541.24
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,96,384,5.70048,3.16693,136.8115,76.0064,957.681,532.045,4161.35,2311.86
aws,af-south-1,South Africa,m8g,ARM,AWS Graviton4,192,768,11.40096,6.33387,273.623,152.0128,1915.361,1064.089,8322.7,4623.72
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,2,8,0.14002,0.09741,3.3605,2.3377,23.523,16.364,102.21,71.1
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,4,16,0.28004,0.19481,6.721,4.6755,47.047,32.728,204.43,142.21
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,8,32,0.56008,0.38962,13.4419,9.3509,94.093,65.456,408.86,284.42
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,16,64,1.12016,0.77924,26.8838,18.7018,188.187,130.913,817.72,568.85
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,32,128,2.24032,1.55848,53.7677,37.4036,376.374,261.825,1635.43,1137.69
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,48,192,3.36048,2.33773,80.6515,56.1054,564.561,392.738,2453.15,1706.54
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,64,256,4.48064,3.11697,107.5354,74.8072,752.748,523.651,3270.87,2275.39
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,96,384,6.72096,4.67545,161.303,112.2108,1129.121,785.475,4906.3,3413.08
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,128,512,8.96128,6.23393,215.0707,149.6144,1505.495,1047.301,6541.73,4550.77
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,192,768,13.44192,9.3509,322.6061,224.4216,2258.243,1570.952,9812.6,6826.16
aws,af-south-1,South Africa,m8i,x86(Intel),Intel Xeon 6 6975P-C,384,1536,26.88384,18.7018,645.2122,448.8433,4516.485,3141.903,19625.2,13652.31
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,1,8,0.0672,0.0672,1.6128,1.6128,11.29,11.29,49.06,49.06
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,2,16,0.1344,0.1344,3.2256,3.2256,22.579,22.579,98.11,98.11
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,4,32,0.2688,0.2688,6.4512,6.4512,45.158,45.158,196.22,196.22
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,8,64,0.5376,0.5376,12.9024,12.9024,90.317,90.317,392.45,392.45
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,16,128,1.0752,1.0752,25.8048,25.8048,180.634,180.634,784.9,784.9
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,32,256,2.1504,2.1504,51.6096,51.6096,361.267,361.267,1569.79,1569.79
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,48,384,3.2256,3.2256,77.4144,77.4144,541.901,541.901,2354.69,2354.69
aws,af-south-1,South Africa,r6g,ARM,AWS Graviton2,64,512,4.3008,4.3008,103.2192,103.2192,722.534,722.534,3139.58,3139.58
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,2,16,0.168,0.168,4.032,4.032,28.224,28.224,122.64,122.64
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,4,32,0.336,0.336,8.064,8.064,56.448,56.448,245.28,245.28
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,8,64,0.672,0.672,16.128,16.128,112.896,112.896,490.56,490.56
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,16,128,1.344,1.344,32.256,32.256,225.792,225.792,981.12,981.12
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,32,256,2.688,2.688,64.512,64.512,451.584,451.584,1962.24,1962.24
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,48,384,4.032,4.032,96.768,96.768,677.376,677.376,2943.36,2943.36
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,64,512,5.376,5.376,129.024,129.024,903.168,903.168,3924.48,3924.48
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,96,768,8.064,8.064,193.536,193.536,1354.752,1354.752,5886.72,5886.72
aws,af-south-1,South Africa,r6i,x86(Intel),Intel Xeon Platinum 8375C,128,1024,10.752,10.752,258.048,258.048,1806.336,1806.336,7848.96,7848.96
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,1,8,0.0714,0.04924,1.7136,1.1818,11.995,8.272,52.12,35.94
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,2,16,0.1428,0.09848,3.4272,2.3636,23.99,16.545,104.24,71.89
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,4,32,0.2856,0.19697,6.8544,4.7272,47.981,33.09,208.49,143.79
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,8,64,0.5712,0.39393,13.7088,9.4543,95.962,66.181,416.98,287.57
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,16,128,1.1424,0.78786,27.4176,18.9087,191.923,132.361,833.95,575.14
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,32,256,2.2848,1.57572,54.8352,37.8174,383.846,264.721,1667.9,1150.28
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,48,384,3.4272,2.36359,82.2528,56.7261,575.77,397.083,2501.86,1725.42
aws,af-south-1,South Africa,r7g,ARM,AWS Graviton3,64,512,4.5696,3.15145,109.6704,75.6348,767.693,529.443,3335.81,2300.56
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,1,8,0.07854,0.04363,1.885,1.0472,13.195,7.331,57.33,31.85
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,2,16,0.15708,0.08727,3.7699,2.0944,26.389,14.661,114.67,63.71
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,4,32,0.31416,0.17453,7.5398,4.1888,52.779,29.322,229.34,127.41
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,8,64,0.62832,0.34907,15.0797,8.3776,105.558,58.643,458.67,254.82
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,16,128,1.25664,0.69813,30.1594,16.7552,211.116,117.287,917.35,509.64
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,32,256,2.51328,1.39627,60.3187,33.5104,422.231,234.573,1834.69,1019.27
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,48,384,3.76992,2.0944,90.4781,50.2656,633.347,351.859,2752.04,1528.91
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,64,512,5.02656,2.79253,120.6374,67.0208,844.462,469.146,3669.39,2038.55
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,96,768,7.53984,4.1888,180.9562,100.5312,1266.693,703.718,5504.08,3057.82
aws,af-south-1,South Africa,r8g,ARM,AWS Graviton4,192,1536,15.07968,8.3776,361.9123,201.0624,2533.386,1407.437,11008.17,6115.65
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,2,16,0.18522,0.12885,4.4453,3.0924,31.117,21.647,135.21,94.06
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,4,32,0.37044,0.2577,8.8906,6.1848,62.234,43.293,270.42,188.12
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,8,64,0.74088,0.51539,17.7811,12.3695,124.468,86.586,540.84,376.24
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,16,128,1.48176,1.03079,35.5622,24.7389,248.936,173.173,1081.68,752.47
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,32,256,2.96352,2.06158,71.1245,49.4779,497.871,346.345,2163.37,1504.95
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,48,384,4.44528,3.09237,106.6867,74.2168,746.807,519.518,3245.05,2257.43
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,64,512,5.92704,4.12316,142.249,98.9558,995.743,692.691,4326.74,3009.91
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,96,768,8.89056,6.18474,213.3734,148.4337,1493.614,1039.036,6490.11,4514.86
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,128,1024,11.85408,8.24632,284.4979,197.9116,1991.485,1385.381,8653.48,6019.81
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,192,1536,17.78112,12.36947,426.7469,296.8674,2987.228,2078.072,12980.22,9029.72
aws,af-south-1,South Africa,r8i,x86(Intel),Intel Xeon 6 6985P-C,384,3072,35.56224,24.73895,853.4938,593.7348,5974.456,4156.143,25960.44,18059.44
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,2,4,0.0972,0.09448,2.3328,2.2676,16.33,15.874,70.96,68.98
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,4,8,0.1944,0.18897,4.6656,4.5352,32.659,31.746,141.91,137.94
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,8,16,0.3888,0.37793,9.3312,9.0704,65.318,63.493,283.82,275.89
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,16,32,0.7776,0.75587,18.6624,18.1409,130.637,126.986,567.65,551.79
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,32,64,1.5552,1.51174,37.3248,36.2817,261.274,253.972,1135.3,1103.57
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,48,96,2.3328,2.26761,55.9872,54.4226,391.91,380.957,1702.94,1655.35
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,64,128,3.1104,3.02348,74.6496,72.5634,522.547,507.944,2270.59,2207.13
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,96,192,4.6656,4.53521,111.9744,108.8451,783.821,761.916,3405.89,3310.71
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,128,256,6.2208,6.04695,149.2992,145.1268,1045.094,1015.887,4541.18,4414.27
aws,ap-east-1,Hong Kong,c6a,x86(AMD),AMD EPYC 7R13,192,384,9.3312,9.07043,223.9488,217.6902,1567.642,1523.832,6811.78,6621.41
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,1,2,0.043,0.043,1.032,1.032,7.224,7.224,31.39,31.39
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,2,4,0.086,0.086,2.064,2.064,14.448,14.448,62.78,62.78
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,4,8,0.172,0.172,4.128,4.128,28.896,28.896,125.56,125.56
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,8,16,0.344,0.344,8.256,8.256,57.792,57.792,251.12,251.12
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,16,32,0.688,0.688,16.512,16.512,115.584,115.584,502.24,502.24
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,32,64,1.376,1.376,33.024,33.024,231.168,231.168,1004.48,1004.48
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,48,96,2.064,2.064,49.536,49.536,346.752,346.752,1506.72,1506.72
aws,ap-east-1,Hong Kong,c6g,ARM,AWS Graviton2,64,128,2.752,2.752,66.048,66.048,462.336,462.336,2008.96,2008.96
aws,ap-east-1,Hong Kong,c6i,x86(Intel),Intel Xeon Platinum 8375C,2,4,0.108,0.108,2.592,2.592,18.144,18.144,78.84,78.84
aws,ap-east-1,Hong Kong,c6i,x86(Intel),Intel Xeon Platinum 8375C,4,8,0.216,0.216,5.184,5.184,36.288,36.288,157.68,157.68
aws,ap-east-1,Hong Kong,c6i,x86(Intel),Intel Xeon Platinum 8375C,8,16,0.432,0.432,10.368,10.368,72.576,72.576,315.36,315.36
aws,ap-east-1,Hong Kong,c6i,x86(Intel),Intel Xeon Platinum 8375C,16,32,0.864,0.864,20.736,20.736,145.152,145.152,630.72,630.72
aws,ap-east-1,Hong Kong,c6i,x86(Intel),Intel Xeon Platinum 8375C,32,64,1.728,1.728,41.472,41.472,290.304,290.304,1261.44,1261.44
aws,ap-east-1,Hong Kong,c6i,x86(Intel),Intel Xeon Platinum 8375C,48,96,2.592,2.592,62.208,62.208,435.456,435.456,1892.16,1892.16
aws,ap-east-1,Hong Kong,c6i,x86(Intel),Intel Xeon Platinum 8375C,64,128,3.456,3.456,82.944,82.944,580.608,580.608,2522.88,2522.88
