region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
us-west-1,30,10,1800,14,0.0039,0.09,0.66,2.88
us-west-1,30,20,2250,17,0.0039,0.09,0.66,2.88
us-west-1,30,120,6750,52,0.0348,0.83,5.84,25.38
us-west-1,200,0,400,46,0.0263,0.63,4.42,19.2
us-west-1,200,10,12000,93,0.1003,2.41,16.85,73.2
us-west-1,200,20,15000,117,0.1249,3.0,20.99,91.2
us-west-1,200,120,45000,351,0.3864,9.27,64.91,282.05
us-west-1,1000,0,2000,234,0.1387,3.33,23.3,101.23
us-west-1,1000,10,50000,468,0.5404,12.97,90.78,394.46
us-west-1,1000,20,50000,585,0.5481,13.15,92.07,400.08
